caller,is_caller_kernel,callee,github_link
colwise_scaling,False,mul_cvt_bf16_to_fp4_8x_round_to_nearest,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L253
colwise_scaling,False,mul_cvt_bf16_to_fp4_8x_stochastic_rounding,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L250
cvt_fp32_to_fp4_4x,False,cvt_fp32_to_fp4_4x_with_rn,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/transpose/quantize_transpose_vector_blockwise_fp4.cu#L314
cvt_fp32_to_fp4_4x,False,cvt_fp32_to_fp4_4x_with_stochastic_rounding,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/transpose/quantize_transpose_vector_blockwise_fp4.cu#L312
mul_cvt_bf16_to_fp4_4x,False,mul_cvt_bf16_to_fp4_4x_with_rn,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L654
mul_cvt_bf16_to_fp4_4x,False,mul_cvt_bf16_to_fp4_4x_with_stochastic_rounding,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L652
mul_cvt_fp32_to_fp4_4x,False,mul_cvt_fp32_to_fp4_4x_with_rn,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L742
mul_cvt_fp32_to_fp4_4x,False,mul_cvt_fp32_to_fp4_4x_with_stochastic_rounding,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L740
quantize_mxfp8_kernel_cast_only,True,reduce_sync_max_abs_f32,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/mxfp8/specialized/quantize_mxfp8.cuh#L1389
quantize_transpose_nvfp4_tuned_1D_kernel,True,get_cancelled_cta_id_2D,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L520
quantize_transpose_nvfp4_tuned_1D_kernel,True,try_cancel_cta,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L505
rowwise_scaling,False,mul_cvt_bf16_to_fp4_8x_round_to_nearest,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L341
rowwise_scaling,False,mul_cvt_bf16_to_fp4_8x_stochastic_rounding,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/nvfp4/specialized/quantize_transpose_nvfp4_tuned_1D.cuh#L338
to_e8m0,False,float_to_e8m0,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/mxfp8/specialized/quantize_mxfp8.cuh#L85
